LineNo,TimeUS,C,Q1,Q2,Q3,Q4
206,1.5036e+07,1,0.9928,-0.0026334,-0.015018,0.1188
309,1.507e+07,1,0.99278,-0.0025837,-0.015081,0.11896
651,1.5132e+07,1,0.99274,-0.0025034,-0.015058,0.11929
764,1.5148e+07,1,0.99273,-0.0025175,-0.015102,0.11938
877,1.5164e+07,1,0.99273,-0.0025245,-0.015153,0.1194
990,1.5181e+07,1,0.99272,-0.0025035,-0.015144,0.11947
1221,1.5259e+07,1,0.99268,-0.0024801,-0.015231,0.11981
1605,1.5414e+07,1,0.99261,-0.0024331,-0.015264,0.1204
1683,1.5425e+07,1,0.9926,-0.0024179,-0.015291,0.12045
1725,1.5435e+07,1,0.99259,-0.0024146,-0.015293,0.12051
1765,1.5445e+07,1,0.99259,-0.0024006,-0.015288,0.12053
1806,1.5458e+07,1,0.99258,-0.0023921,-0.015289,0.12059
1849,1.5472e+07,1,0.99258,-0.0024047,-0.015274,0.12062
1891,1.5481e+07,1,0.99257,-0.0024167,-0.015278,0.1207
1936,1.5491e+07,1,0.99256,-0.0024002,-0.015337,0.12079
1976,1.5501e+07,1,0.99255,-0.002355,-0.0153,0.12087
2017,1.5511e+07,1,0.99254,-0.0023434,-0.015289,0.12094
2060,1.5521e+07,1,0.99253,-0.0023311,-0.015293,0.12101
2104,1.5537e+07,1,0.99252,-0.0022892,-0.015261,0.12111
2148,1.5547e+07,1,0.99251,-0.0022726,-0.015266,0.12115
2188,1.5557e+07,1,0.99251,-0.0022712,-0.015276,0.12119
2229,1.5567e+07,1,0.9925,-0.0023019,-0.0153,0.12126
2270,1.5577e+07,1,0.99249,-0.0023054,-0.01534,0.12137
2314,1.5587e+07,1,0.99248,-0.0022939,-0.015357,0.12144
2356,1.5597e+07,1,0.99247,-0.0023095,-0.015377,0.1215
2397,1.5607e+07,1,0.99246,-0.0023279,-0.015355,0.12157
2441,1.5617e+07,1,0.99245,-0.0023109,-0.015388,0.12166
2481,1.5627e+07,1,0.99245,-0.0022695,-0.015401,0.12169
2519,1.5638e+07,1,0.99244,-0.0022942,-0.015376,0.12175
2562,1.5648e+07,1,0.99243,-0.0022877,-0.015378,0.12183
2602,1.5658e+07,1,0.99242,-0.0022732,-0.015371,0.12189
2643,1.5668e+07,1,0.99241,-0.0022449,-0.015355,0.12197
2683,1.5678e+07,1,0.99241,-0.0022327,-0.015344,0.12199
2728,1.5688e+07,1,0.9924,-0.0021989,-0.015332,0.12206
2769,1.5698e+07,1,0.9924,-0.0021601,-0.015322,0.1221
2810,1.5708e+07,1,0.99239,-0.0021617,-0.015297,0.12216
2851,1.5718e+07,1,0.99239,-0.0021664,-0.01527,0.12219
2891,1.5728e+07,1,0.99238,-0.0021424,-0.015257,0.12224
2933,1.5738e+07,1,0.99238,-0.0021589,-0.015266,0.12225
2975,1.5748e+07,1,0.99237,-0.0021278,-0.01528,0.12232
3014,1.5758e+07,1,0.99237,-0.0021177,-0.015288,0.12236
3056,1.5768e+07,1,0.99236,-0.0021602,-0.015285,0.12244
3096,1.5778e+07,1,0.99235,-0.0021724,-0.015278,0.1225
3142,1.5788e+07,1,0.99234,-0.0021633,-0.015288,0.12258
3184,1.5798e+07,1,0.99233,-0.0021604,-0.0153,0.12264
3225,1.5808e+07,1,0.99233,-0.0021559,-0.015259,0.12268
3266,1.5819e+07,1,0.99232,-0.0021617,-0.015233,0.12275
3308,1.5832e+07,1,0.9923,-0.0021713,-0.01525,0.12286
3345,1.5842e+07,1,0.9923,-0.002166,-0.015252,0.1229
3387,1.5852e+07,1,0.99229,-0.0021631,-0.015268,0.12296
3428,1.5862e+07,1,0.99228,-0.0021527,-0.015297,0.12303
3468,1.5872e+07,1,0.99228,-0.002167,-0.015306,0.12308
3509,1.5882e+07,1,0.99227,-0.0021348,-0.015324,0.12312
3553,1.5892e+07,1,0.99226,-0.0021188,-0.015318,0.12318
3594,1.5902e+07,1,0.99226,-0.0021213,-0.015303,0.12323
3636,1.5912e+07,1,0.99225,-0.0021274,-0.015302,0.12331
3678,1.5922e+07,1,0.99224,-0.0021379,-0.015287,0.12337
3716,1.5932e+07,1,0.99223,-0.0021352,-0.015273,0.12346
3753,1.5942e+07,1,0.99222,-0.0021687,-0.015277,0.12353
3795,1.5953e+07,1,0.99221,-0.0022157,-0.01526,0.1236
3836,1.5963e+07,1,0.9922,-0.0022221,-0.015256,0.12368
3876,1.5973e+07,1,0.9922,-0.0022086,-0.015241,0.12373
3917,1.5983e+07,1,0.99218,-0.002204,-0.015254,0.12382
3961,1.5993e+07,1,0.99217,-0.0022133,-0.015277,0.12391
4002,1.6003e+07,1,0.99216,-0.0021895,-0.015275,0.12403
4045,1.6013e+07,1,0.99214,-0.0021707,-0.015277,0.12414
4086,1.6023e+07,1,0.99213,-0.0021475,-0.015276,0.12422
4127,1.6033e+07,1,0.99212,-0.0021409,-0.015273,0.1243
4164,1.6043e+07,1,0.99211,-0.0021286,-0.015286,0.1244
4206,1.6053e+07,1,0.9921,-0.0021232,-0.015276,0.12448
4250,1.6066e+07,1,0.99209,-0.0021115,-0.015273,0.12455
4292,1.6076e+07,1,0.99209,-0.0021236,-0.015239,0.12459
4332,1.6086e+07,1,0.99208,-0.002131,-0.015259,0.12468
4377,1.6096e+07,1,0.99207,-0.0021493,-0.015273,0.12475
4418,1.6106e+07,1,0.99206,-0.0021421,-0.015301,0.12484
4458,1.6116e+07,1,0.99205,-0.0021415,-0.015318,0.12492
4504,1.6131e+07,1,0.99204,-0.0021553,-0.01532,0.12501
4547,1.6144e+07,1,0.99202,-0.002138,-0.015302,0.1251
4587,1.6154e+07,1,0.99202,-0.0021536,-0.015295,0.12517
4628,1.6164e+07,1,0.99201,-0.0021392,-0.015303,0.12523
4670,1.6174e+07,1,0.992,-0.0021412,-0.015271,0.12529
4710,1.6184e+07,1,0.99199,-0.0021338,-0.015256,0.12536
4755,1.6194e+07,1,0.99198,-0.0021196,-0.015244,0.12544
4795,1.6204e+07,1,0.99197,-0.002096,-0.015226,0.12551
4837,1.6214e+07,1,0.99197,-0.0020886,-0.015236,0.12555
4877,1.6224e+07,1,0.99196,-0.0020834,-0.015237,0.12559
4918,1.6234e+07,1,0.99196,-0.0020862,-0.015204,0.12562
4956,1.6244e+07,1,0.99196,-0.0020759,-0.015217,0.12562
4993,1.6254e+07,1,0.99196,-0.0020671,-0.015219,0.12564
5035,1.6264e+07,1,0.99196,-0.0020454,-0.015235,0.12565
5077,1.6274e+07,1,0.99195,-0.0020502,-0.015204,0.1257
5117,1.6284e+07,1,0.99194,-0.0020602,-0.015206,0.12575
5162,1.6294e+07,1,0.99194,-0.0020678,-0.015216,0.12579
5203,1.6304e+07,1,0.99193,-0.0020496,-0.015242,0.12589
5244,1.6314e+07,1,0.99192,-0.0020589,-0.015251,0.12595
5284,1.6324e+07,1,0.99191,-0.0020309,-0.015265,0.12598
5327,1.6337e+07,1,0.99191,-0.0020326,-0.015293,0.12603
5364,1.6346e+07,1,0.9919,-0.0020202,-0.015276,0.12607
5409,1.6359e+07,1,0.99189,-0.0019972,-0.015276,0.12613
5450,1.6369e+07,1,0.99189,-0.001969,-0.015293,0.12618
5490,1.6379e+07,1,0.99189,-0.0019396,-0.015275,0.12619
5532,1.6389e+07,1,0.99188,-0.0019363,-0.015261,0.12622
5576,1.6399e+07,1,0.99188,-0.0019469,-0.015267,0.12623
5618,1.6409e+07,1,0.99188,-0.0019243,-0.01528,0.12626
5659,1.6419e+07,1,0.99187,-0.001892,-0.015283,0.12631
5699,1.6429e+07,1,0.99187,-0.0018757,-0.015285,0.12635
5734,1.6439e+07,1,0.99186,-0.0018521,-0.015292,0.12638
5775,1.645e+07,1,0.99185,-0.0018115,-0.015288,0.12646
5816,1.646e+07,1,0.99184,-0.0018451,-0.015304,0.12652
5856,1.647e+07,1,0.99183,-0.0018313,-0.015304,0.12659
5898,1.648e+07,1,0.99182,-0.0018541,-0.015307,0.12668
5940,1.649e+07,1,0.99182,-0.001841,-0.015313,0.12669
5984,1.65e+07,1,0.99181,-0.0018226,-0.015312,0.12676
6027,1.651e+07,1,0.99181,-0.0018267,-0.01528,0.12683
6067,1.652e+07,1,0.9918,-0.0018355,-0.015267,0.1269
6111,1.653e+07,1,0.99179,-0.0017987,-0.015253,0.12695
6148,1.6541e+07,1,0.99178,-0.0017588,-0.015232,0.12702
6188,1.6551e+07,1,0.99177,-0.0017226,-0.01524,0.12709
6228,1.6561e+07,1,0.99177,-0.0016816,-0.01522,0.12713
6269,1.6571e+07,1,0.99176,-0.0016446,-0.015231,0.12717
6310,1.6581e+07,1,0.99176,-0.0016353,-0.015247,0.12719
6351,1.6591e+07,1,0.99175,-0.0016647,-0.01526,0.12724
6398,1.6602e+07,1,0.99175,-0.0016984,-0.015269,0.12728
6441,1.6611e+07,1,0.99175,-0.0017599,-0.01527,0.12728
6482,1.6622e+07,1,0.99174,-0.0018268,-0.015263,0.12733
6523,1.6632e+07,1,0.99174,-0.0018951,-0.015232,0.12735
6561,1.6644e+07,1,0.99174,-0.0019231,-0.0152,0.12736
6602,1.6654e+07,1,0.99174,-0.0018896,-0.015225,0.12738
6642,1.6664e+07,1,0.99173,-0.0018752,-0.015236,0.1274
6684,1.6674e+07,1,0.99173,-0.0018697,-0.015289,0.12742
6724,1.6684e+07,1,0.99173,-0.001848,-0.015309,0.12745
6769,1.6694e+07,1,0.99172,-0.001822,-0.015335,0.1275
6811,1.6704e+07,1,0.99172,-0.0017521,-0.015317,0.12749
6852,1.6714e+07,1,0.99172,-0.0017247,-0.015338,0.12753
6893,1.6724e+07,1,0.99171,-0.0016949,-0.015328,0.12754
6935,1.6734e+07,1,0.99171,-0.0016936,-0.01533,0.12758
6970,1.6744e+07,1,0.99171,-0.0017157,-0.015312,0.1276
7010,1.6754e+07,1,0.9917,-0.0017387,-0.015299,0.12763
7051,1.6764e+07,1,0.99171,-0.0017373,-0.01528,0.1276
7092,1.6774e+07,1,0.9917,-0.0017828,-0.01525,0.12762
7133,1.6784e+07,1,0.9917,-0.0018244,-0.01525,0.12762
7180,1.6794e+07,1,0.99171,-0.001863,-0.015271,0.12761
7221,1.6804e+07,1,0.99171,-0.0018707,-0.015291,0.1276
7263,1.6814e+07,1,0.99171,-0.0018953,-0.015345,0.12758
7304,1.6824e+07,1,0.99171,-0.0018879,-0.01537,0.12757
7344,1.6834e+07,1,0.99171,-0.0018518,-0.01536,0.12756
7385,1.6844e+07,1,0.99171,-0.0018269,-0.015347,0.12757
7422,1.6855e+07,1,0.99171,-0.0018114,-0.015327,0.12756
7463,1.6865e+07,1,0.99171,-0.0017639,-0.015292,0.12757
7505,1.6875e+07,1,0.99171,-0.001726,-0.015266,0.12757
7545,1.6885e+07,1,0.99171,-0.0017135,-0.015258,0.12759
7589,1.6895e+07,1,0.99171,-0.0016681,-0.015219,0.12756
7631,1.6905e+07,1,0.99171,-0.0016687,-0.015202,0.12757
7673,1.6915e+07,1,0.99171,-0.0016517,-0.015208,0.12757
7714,1.6925e+07,1,0.99171,-0.0016721,-0.015198,0.12756
7756,1.6938e+07,1,0.99172,-0.0017098,-0.015182,0.12754
7797,1.6948e+07,1,0.99172,-0.0017629,-0.015198,0.1275
7834,1.6958e+07,1,0.99172,-0.0017889,-0.015173,0.12752
7876,1.6968e+07,1,0.99172,-0.0018018,-0.015155,0.12754
7916,1.6978e+07,1,0.99171,-0.0018111,-0.015145,0.12757
7957,1.6988e+07,1,0.99171,-0.0017966,-0.015164,0.12762
8003,1.6998e+07,1,0.9917,-0.0018012,-0.015126,0.12764
8047,1.7008e+07,1,0.9917,-0.0017913,-0.015083,0.12765
8088,1.7019e+07,1,0.9917,-0.0018,-0.015084,0.12769
8128,1.7029e+07,1,0.9917,-0.0017864,-0.01508,0.12769
8166,1.7039e+07,1,0.9917,-0.001728,-0.015089,0.1277
8203,1.7049e+07,1,0.9917,-0.0017117,-0.015085,0.12767
8244,1.7059e+07,1,0.99171,-0.0016738,-0.015054,0.12762
8284,1.7069e+07,1,0.9917,-0.0016423,-0.015027,0.12769
8326,1.7079e+07,1,0.99169,-0.001605,-0.015072,0.12776
8368,1.7089e+07,1,0.99167,-0.0015823,-0.015012,0.1279
8412,1.7099e+07,1,0.99166,-0.0016574,-0.015008,0.128
8453,1.7109e+07,1,0.99165,-0.0017257,-0.014934,0.1281
8495,1.7119e+07,1,0.99164,-0.0016522,-0.014931,0.12815
8536,1.7129e+07,1,0.99163,-0.0017735,-0.014862,0.12823
8576,1.7139e+07,1,0.99163,-0.0017659,-0.014914,0.12825
8616,1.7151e+07,1,0.99163,-0.0016391,-0.014908,0.12827
8657,1.7161e+07,1,0.99162,-0.0016683,-0.014868,0.12832
8697,1.7171e+07,1,0.99162,-0.0017239,-0.014835,0.12831
8738,1.7181e+07,1,0.99162,-0.0017671,-0.014791,0.12835
8779,1.7191e+07,1,0.99161,-0.0017908,-0.014789,0.12837
8823,1.7201e+07,1,0.99161,-0.0017535,-0.014824,0.1284
8864,1.7211e+07,1,0.99161,-0.0016914,-0.014882,0.12843
8904,1.7222e+07,1,0.9916,-0.0016923,-0.014901,0.12849
8946,1.7232e+07,1,0.99159,-0.0017549,-0.014901,0.12857
8983,1.7242e+07,1,0.99157,-0.0018036,-0.014943,0.1287
9021,1.7252e+07,1,0.99156,-0.0017147,-0.014891,0.12877
9062,1.7262e+07,1,0.99155,-0.0017085,-0.014828,0.12885
9102,1.7272e+07,1,0.99154,-0.001831,-0.014817,0.12891
9143,1.7282e+07,1,0.99153,-0.0019741,-0.014799,0.12899
9183,1.7292e+07,1,0.99153,-0.0019453,-0.014853,0.129
9228,1.7302e+07,1,0.99153,-0.0018942,-0.014745,0.12902
9263,1.7332e+07,1,0.99154,-0.0019232,-0.014779,0.12898
9306,1.7342e+07,1,0.99155,-0.001927,-0.014758,0.12889
9343,1.7352e+07,1,0.99153,-0.0019526,-0.014903,0.12898
9381,1.7362e+07,1,0.99154,-0.001925,-0.014887,0.12894
9422,1.7372e+07,1,0.99153,-0.0016899,-0.0149,0.12902
9462,1.7382e+07,1,0.99153,-0.0017749,-0.014866,0.129
9504,1.7392e+07,1,0.99152,-0.0018734,-0.014974,0.12905
9548,1.7402e+07,1,0.99151,-0.0018394,-0.015008,0.12915
9589,1.7412e+07,1,0.99151,-0.0015359,-0.014877,0.12917
9629,1.7422e+07,1,0.99149,-0.0015182,-0.014939,0.12932
9672,1.7432e+07,1,0.99149,-0.0015531,-0.014832,0.12929
9713,1.7442e+07,1,0.99148,-0.0015033,-0.0149,0.12941
9750,1.7452e+07,1,0.99149,-0.0015464,-0.014806,0.12931
9792,1.7465e+07,1,0.99148,-0.0015473,-0.015014,0.12939
9833,1.7475e+07,1,0.9915,-0.0015835,-0.014792,0.12926
9873,1.7485e+07,1,0.99149,-0.0015932,-0.014867,0.1293
9914,1.7495e+07,1,0.9915,-0.001608,-0.014813,0.12921
9960,1.7505e+07,1,0.9915,-0.0015318,-0.014804,0.12929
