LineNo,TimeUS,Id,Pri,Total,Free,Name
11118,1.6445e+09,21,58,2896,1432,0
21768,1.6471e+09,21,58,2896,1432,0
32360,1.6496e+09,21,58,2896,1432,0
42914,1.6522e+09,21,58,2896,1432,0
53036,1.6547e+09,21,58,2896,1432,0
63513,1.6573e+09,21,58,2896,1432,0
73936,1.6599e+09,21,58,2896,1432,0
84265,1.6624e+09,21,58,2896,1432,0
94843,1.665e+09,21,58,2896,1432,0
1.0517e+05,1.6676e+09,21,58,2896,1432,0
1.1535e+05,1.6701e+09,21,58,2896,1432,0
1.2584e+05,1.6727e+09,21,58,2896,1432,0
1.362e+05,1.6752e+09,21,58,2896,1432,0
1.4655e+05,1.6778e+09,21,58,2896,1432,0
1.5695e+05,1.6804e+09,21,58,2896,1432,0
1.673e+05,1.6829e+09,21,58,2896,1432,0
1.7769e+05,1.6855e+09,21,58,2896,1432,0
1.8795e+05,1.688e+09,21,58,2896,1432,0
1.9821e+05,1.6906e+09,21,58,2896,1432,0
2.0846e+05,1.6931e+09,21,58,2896,1432,0
2.1836e+05,1.6956e+09,21,58,2896,1432,0
2.288e+05,1.6982e+09,21,58,2896,1432,0
2.3898e+05,1.7007e+09,21,58,2896,1432,0
2.496e+05,1.7034e+09,21,58,2896,1432,0
2.5992e+05,1.7059e+09,21,58,2896,1432,0
2.7015e+05,1.7085e+09,21,58,2896,1432,0
2.803e+05,1.711e+09,21,58,2896,1432,0
2.9069e+05,1.7136e+09,21,58,2896,1432,0
3.0133e+05,1.7162e+09,21,58,2896,1432,0
3.1159e+05,1.7188e+09,21,58,2896,1432,0
3.2168e+05,1.7213e+09,21,58,2896,1432,0
3.3202e+05,1.7238e+09,21,58,2896,1432,0
3.4217e+05,1.7263e+09,21,58,2896,1432,0
3.526e+05,1.7289e+09,21,58,2896,1432,0
3.6266e+05,1.7314e+09,21,58,2896,1432,0
3.7303e+05,1.734e+09,21,58,2896,1432,0
3.8319e+05,1.7366e+09,21,58,2896,1432,0
3.9364e+05,1.7391e+09,21,58,2896,1432,0
4.0408e+05,1.7417e+09,21,58,2896,1432,0
4.1467e+05,1.7443e+09,21,58,2896,1432,0
4.2488e+05,1.7469e+09,21,58,2896,1432,0
4.3524e+05,1.7494e+09,21,58,2896,1432,0
4.4556e+05,1.752e+09,21,58,2896,1432,0
4.5586e+05,1.7544e+09,21,58,2896,1432,0
4.6607e+05,1.7569e+09,21,58,2896,1432,0
4.7611e+05,1.7593e+09,21,58,2896,1432,0
4.8652e+05,1.7619e+09,21,58,2896,1432,0
4.976e+05,1.7645e+09,21,58,2896,1432,0
5.0814e+05,1.767e+09,21,58,2896,1432,0
5.1853e+05,1.7695e+09,21,58,2896,1432,0
5.2899e+05,1.772e+09,21,58,2896,1432,0
5.3913e+05,1.7745e+09,21,58,2896,1432,0
