LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
2062,1642399153,3,0,0,16.73,0.03,28,0,0,0
2497,1642507133,3,0,0,16.73,0.03,28,0,0,0
2947,1642615959,3,0,0,16.73,0.03,28,0,0,0
3448,1642729545,3,0,0,16.73,0.03,28,0,0,0
3899,1642835272,3,0,0,16.73,0.03,28,0,0,0
4351,1642937916,3,0,0,16.73,0.03,28,0,0,0
4784,1643044136,3,0,0,16.73,0.03,28,0,0,0
5707,1643261383,3,0,0,16.73,0.03,28,0,0,0
6162,1643367603,3,0,0,16.72,0.02,29,0,0,0
6659,1643484725,3,36,414,16.71,0.05,28,0,0,0
7073,1643589190,3,434,771,16.69,0.11,29,0,0,0
7540,1643698210,3,799,1171,16.7,0.15,28,0,0,0
7992,1643804293,3,1178,1285,16.7,0.11,29,0,0,0
8445,1643906753,3,1287,1328,16.72,0.11,28,0,0,0
9389,1644123268,3,1328,1357,16.71,0.09999999,29,0,0,0
9827,1644229509,3,1357,1357,16.72,0.09999999,29,0,0,0
10306,1644344164,3,1357,1357,16.71,0.09999999,29,0,0,0
10755,1644450508,3,1357,1357,16.71,0.09999999,29,0,0,0
11252,1644565106,3,1357,1357,16.71,0.09999999,29,0,0,0
11713,1644673543,3,1357,1357,16.72,0.09999999,29,0,0,0
12201,1644786553,3,1357,1357,16.71,0.09999999,29,0,0,0
12996,1644985152,3,1357,1357,16.71,0.09999999,29,0,0,0
13490,1645096400,3,1357,1357,16.71,0.09999999,29,0,0,0
13730,1645205142,3,1357,1357,16.72,0.09999999,29,0,0,0
14188,1645310311,3,1357,1357,16.71,0.09999999,29,0,0,0
14673,1645425941,3,1357,1357,16.71,0.09999999,29,0,0,0
15105,1645530345,3,1357,1357,16.7,0.09999999,29,0,0,0
16050,1645747173,3,1357,1357,16.71,0.09999999,29,0,0,0
16506,1645856512,3,1357,1357,16.72,0.09999999,29,0,0,0
16958,1645959316,3,1357,1357,16.72,0.09999999,29,0,0,0
17433,1646076347,3,1357,1357,16.71,0.09999999,29,0,0,0
18256,1646279544,3,1357,1357,16.7,0.09999999,29,0,0,0
18708,1646385919,3,1357,1357,16.72,0.09999999,29,0,0,0
19205,1646498601,3,1357,1357,16.7,0.09999999,29,0,0,0
19609,1646598589,3,1357,1357,16.71,0.09999999,29,0,0,0
20086,1646711484,3,1357,1357,16.71,0.09999999,29,0,0,0
20528,1646817566,3,1357,1357,16.71,0.09999999,29,0,0,0
21032,1646931926,3,1357,1357,16.7,0.09999999,29,0,0,0
21448,1647035007,3,1356,1342,16.7,0.09999999,29,0,0,0
21902,1647139178,3,1342,1357,16.71,0.09999999,29,0,0,0
22386,1647256141,3,1357,1357,16.71,0.09999999,29,0,0,0
22818,1647358375,3,1357,1357,16.7,0.09999999,29,0,0,0
23319,1647475144,3,1357,1357,16.71,0.09999999,29,0,0,0
23767,1647582068,3,1357,1371,16.7,0.12,29,0,0,0
24221,1647684765,3,1379,1614,16.66,0.26,29,0,0,0
24674,1647794336,3,1643,2328,16.6,0.5600000000000001,29,0,0,0
25151,1647908172,3,2341,2528,16.64,0.5,29,0,0,0
25593,1648014953,3,2531,2571,16.61,0.45,29,0,0,0
26047,1648119348,3,2578,2771,16.57,0.65,29,0,0,0
26536,1648233591,3,2790,3185,16.48,1.17,29,0,0,0
27035,1648349586,3,3207,3514,16.48,1.14,29,0,0,0
27471,1648461392,3,3568,4128,16.28,2.73,29,0,0,0
28362,1648681150,3,4177,5228,16.15,3.05,29,0,0,0
28773,1648780147,3,5253,5757,16.04,3.72,29,0,0,0
29274,1648898198,3,5779,6114,16.11,3.48,29,0,0,0
29716,1649008244,3,6088,5828,16.25,2.39,29,1,0,0
30150,1649113074,3,5806,5528,16.25,2.09,29,1,0,0
30591,1649221599,3,5507,5214,16.2,1.98,29,1,0,0
31089,1649337640,3,5201,5071,16.19,1.94,29,1,0,0
31544,1649448377,3,5064,5000,16.12,1.95,29,1,0,0
31994,1649558524,3,4984,4800,16.17,1.55,29,1,0,0
32446,1649662510,3,4789,4657,16.18,1.41,29,1,0,0
32904,1649772585,3,4649,4485,16.09,1.36,29,1,0,0
33337,1649875601,3,4490,4614,16.14,1.74,29,1,0,0
33811,1649988277,3,4629,4842,16.08,2.38,29,1,0,0
34264,1650093504,3,4846,5114,16.16,2.42,29,1,0,0
34756,1650210548,3,5122,5200,16.1,2.52,29,1,0,0
35209,1650315110,3,5206,5342,16.12,2.47,29,1,0,0
35650,1650424801,3,5344,5414,16.2,2.68,29,1,0,0
