LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
312,1641887303,1,-1.02,1.76,21.65,-0.005743511,-0.02547296,0.03278124,0.03094577,14.4398,0.6178947,0.5565295,-0.52,6.17,1.18,86.58
540,1641933520,1,-1.02,1.76,21.66,-0.007070605,-0.0273127,0.03444564,0.03226231,14.43857,0.616476,0.5580471,-0.5,5.99,1.14,86.58
994,1642040400,1,-1.01,1.81,21.68,-0.005077836,-0.02883048,0.03751206,0.03378754,14.43176,0.6133631,0.5614711999999999,-0.48,5.74,1.1,86.58
1108,1642079518,1,-1.01,1.84,21.7,-0.003177301,-0.0284926,0.03904959,0.03438072,14.42978,0.6122087000000001,0.562822,-0.47,5.65,1.08,86.58
1215,1642156178,1,-1.02,1.97,21.73,-0.001993764,-0.02830385,-0.07399606,-0.06505609,14.4272,0.6103469,0.5591622000000001,-0.46,5.54,1.06,86.58
1326,1642225592,1,-1.04,2.19,21.76,-0.004821794,-0.02753161,-0.3277877,-0.2976879,14.42499,0.6090754,0.5475188,-0.46,5.43,1.04,86.58
1505,1642272695,1,-1.05,2.23,21.77,-0.005665779,-0.02961517,-0.3277781,-0.2997946,14.42111,0.6075616,0.5310788,-0.45,5.37,1.03,86.58
1687,1642306384,1,-1.05,2.28,21.77,-0.009056131,-0.03228908,-0.3268872,-0.3178181,14.41878,0.6064157999999999,0.5193313000000001,-0.45,5.4,1.03,86.58
1731,1642316520,1,-1.05,2.29,21.78,-0.01045428,-0.03304509,-0.3253874,-0.3215683,14.41772,0.6060539,0.5157649,-0.45,5.41,1.03,86.58
1776,1642327306,1,-1.05,2.31,21.78,-0.01281914,-0.0335249,-0.3256239,-0.3271905,14.41669,0.6056917000000001,0.5120980000000001,-0.46,5.44,1.04,86.58
1820,1642337346,1,-1.05,2.32,21.78,-0.01374245,-0.03388742,-0.3250945,-0.3310611,14.41655,0.6053596,0.5089129999999999,-0.46,5.44,1.04,86.58
1865,1642347796,1,-1.05,2.33,21.78,-0.0163758,-0.03414604,-0.3248241,-0.3353653,14.41551,0.6049609,0.5049683,-0.45,5.41,1.03,86.58
1912,1642357719,1,-1.04,2.35,21.78,-0.01817471,-0.03472555,-0.3248516,-0.3383705,14.41449,0.6045911,0.5013792,-0.45,5.38,1.03,86.58
1955,1642375142,1,-1.04,2.37,21.79,-0.01939476,-0.03552129,-0.3228092,-0.3394848,14.41257,0.6040525,0.4973168,-0.45,5.39,1.03,86.58
1997,1642384847,1,-1.04,2.38,21.8,-0.02094247,-0.03563873,-0.3214059,-0.3330078,14.41086,0.6037517,0.4954506,-0.45,5.41,1.03,86.58
2045,1642394934,1,-1.04,2.39,21.8,-0.02257076,-0.03681114,-0.321415,-0.3249268,14.40922,0.6034527,0.4935748,-0.46,5.44,1.04,86.58
2088,1642405673,1,-1.04,2.41,21.8,-0.02285402,-0.03695755,-0.3239999,-0.3148091,14.40897,0.603041,0.4900196,-0.46,5.44,1.04,86.58
2130,1642416196,1,-1.05,2.42,21.81,-0.02463095,-0.03746546,-0.324692,-0.3045759,14.40737,0.6027263,0.4880275,-0.46,5.43,1.04,86.58
2176,1642430103,1,-1.05,2.44,21.82,-0.02557373,-0.03789276,-0.3239685,-0.2879511,14.40573,0.602257,0.4846747,-0.46,5.46,1.04,86.58
2220,1642439937,1,-1.05,2.45,21.82,-0.02757012,-0.03688794,-0.3214134,-0.27484,14.40425,0.6019431,0.4825707,-0.46,5.47,1.05,86.58
2262,1642450769,1,-1.05,2.46,21.82,-0.02872552,-0.03761126,-0.3215143,-0.264431,14.40279,0.6015956,0.4802629,-0.46,5.48,1.05,86.58
2306,1642461396,1,-1.05,2.47,21.83,-0.02763236,-0.03991187,-0.320112,-0.2554436,14.4025,0.6012016,0.4770128,-0.46,5.48,1.05,86.58
2348,1642471335,1,-1.05,2.48,21.83,-0.02950592,-0.04092254,-0.3199593,-0.2496687,14.40107,0.6008254,0.4747651,-0.46,5.43,1.04,86.58
