LineNo,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
992,1.642e+09,1,195.76,14.516,216,288,360,71.999,144,0.2,0.2,0.2,0.2,0.2
1106,1.6421e+09,1,200.95,14.406,215.99,287.99,359.99,71.99,143.99,0.2,0.2,0.2,0.2,0.2
1213,1.6422e+09,1,205.02,14.341,215.99,287.99,359.99,71.988,143.99,0.2,0.2,0.2,0.2,0.2
1324,1.6422e+09,1,209.97,14.29,216.58,288.18,359.52,71.512,144.17,0.19941,0.21801,0.21102,0.18906,0.18249
1503,1.6423e+09,1,306.6,13.477,216.58,288.18,359.51,71.508,144.16,0.19941,0.21801,0.21102,0.18906,0.18249
1685,1.6423e+09,1,306.83,13.477,216.81,288.4,359.74,71.735,144.39,0.19941,0.21801,0.21102,0.18906,0.18249
1729,1.6423e+09,1,306.9,13.477,216.88,288.47,359.81,71.807,144.46,0.19941,0.21801,0.21102,0.18906,0.18249
1774,1.6423e+09,1,307.02,13.477,217,288.6,359.94,71.935,144.59,0.19941,0.21801,0.21102,0.18906,0.18249
1818,1.6423e+09,1,307.02,13.477,217,288.6,359.94,71.935,144.59,0.19941,0.21801,0.21102,0.18906,0.18249
1863,1.6423e+09,1,307.08,13.477,217.07,288.66,0.0023687,71.996,144.65,0.19941,0.21801,0.21102,0.18906,0.18249
1910,1.6424e+09,1,307.18,13.477,217.17,288.76,0.10309,72.097,144.75,0.19941,0.21801,0.21102,0.18906,0.18249
2700,1.6426e+09,1,0,4.756,216,288,0,72,144,0.2,0.2,0.2,0.2,0.2
2745,1.6426e+09,1,199.15,14.443,216.11,288.11,0.10853,72.109,144.11,0.2,0.2,0.2,0.2,0.2
2790,1.6426e+09,1,199.84,14.43,216.17,288.17,0.17119,72.171,144.17,0.2,0.2,0.2,0.2,0.2
2835,1.6426e+09,1,199.84,14.43,216.17,288.17,0.17119,72.171,144.17,0.2,0.2,0.2,0.2,0.2
2884,1.6426e+09,1,196.35,14.508,216.23,288.23,0.23236,72.233,144.23,0.2,0.2,0.2,0.2,0.2
2928,1.6426e+09,1,197.75,14.477,216.31,288.31,0.31114,72.311,144.31,0.2,0.2,0.2,0.2,0.2
2975,1.6426e+09,1,197.75,14.477,216.31,288.31,0.31114,72.311,144.31,0.2,0.2,0.2,0.2,0.2
3019,1.6426e+09,1,196.88,14.499,216.38,288.38,0.37599,72.376,144.38,0.2,0.2,0.2,0.2,0.2
3064,1.6426e+09,1,197.42,14.488,216.44,288.44,0.44147,72.442,144.44,0.2,0.2,0.2,0.2,0.2
3108,1.6427e+09,1,198.53,14.464,216.51,288.51,0.50635,72.507,144.51,0.2,0.2,0.2,0.2,0.2
3153,1.6427e+09,1,198.53,14.464,216.51,288.51,0.50635,72.507,144.51,0.2,0.2,0.2,0.2,0.2
3198,1.6427e+09,1,198.72,14.462,216.58,288.58,0.58043,72.581,144.58,0.2,0.2,0.2,0.2,0.2
3242,1.6427e+09,1,198.51,14.468,216.64,288.64,0.64178,72.642,144.64,0.2,0.2,0.2,0.2,0.2
