LineNo,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
3406,2.0304e+07,0,0.00011821,0.00012189,0.0001219,0.002629,0.19396,0.19391,0.096821,0.2102,0.21018,0.41221,3.7504e-09,3.7554e-09
5398,2.08e+07,0,0.00011759,8.9544e-05,8.955e-05,0.0025332,0.15398,0.15393,0.083338,0.1861,0.18609,0.38223,2.4707e-09,2.4748e-09
7378,2.1294e+07,0,0.00011706,6.9212e-05,6.9213e-05,0.0024461,0.12876,0.12872,0.073157,0.17229,0.17228,0.3609,1.7125e-09,1.716e-09
9364,2.1794e+07,0,0.00011603,5.4782e-05,5.4779e-05,0.002358,0.10938,0.10934,0.064766,0.16019,0.16017,0.34184,1.2249e-09,1.2278e-09
11223,2.2294e+07,0,0.00011392,4.4326e-05,4.432e-05,0.0022634,0.095139,0.095105,0.05766,0.1516,0.15158,0.32641,9.049e-10,9.0748e-10
13195,2.2787e+07,0,0.00011161,3.6299e-05,3.6292e-05,0.0021728,0.082428,0.082399,0.051523,0.14118,0.14116,0.30983,6.821e-10,6.8435e-10
15174,2.3281e+07,0,0.00010951,3.0341e-05,3.0337e-05,0.0020927,0.073046,0.07302,0.046467,0.13468,0.13467,0.2981,5.2613e-10,5.281e-10
17124,2.3777e+07,0,0.00010677,2.5674e-05,2.5669e-05,0.00201,0.064668,0.064646,0.041929,0.12659,0.12657,0.28454,4.1505e-10,4.168e-10
19077,2.4268e+07,0,0.00010359,2.1994e-05,2.1988e-05,0.001926,0.05805,0.058033,0.037916,0.1203,0.12028,0.27316,3.3437e-10,3.3593e-10
21062,2.4759e+07,0,0.00010376,2.0204e-05,2.0198e-05,0.0019081,0.057022,0.057007,0.03613,0.12805,0.12803,0.27931,2.8535e-10,2.8677e-10
23053,2.5255e+07,0,0.00010077,1.782e-05,1.7814e-05,0.0018369,0.052022,0.052012,0.033054,0.12242,0.12241,0.26879,2.381e-10,2.3938e-10
25045,2.5747e+07,0,9.7821e-05,1.5883e-05,1.5879e-05,0.0017691,0.047555,0.04755,0.030343,0.11623,0.11622,0.25793,2.0185e-10,2.03e-10
27027,2.6243e+07,0,9.4893e-05,1.4348e-05,1.4343e-05,0.0017054,0.044004,0.044002,0.028009,0.11139,0.11138,0.24865,1.7406e-10,1.7511e-10
29009,2.6739e+07,0,9.2121e-05,1.3115e-05,1.311e-05,0.0016461,0.041149,0.041151,0.02599,0.10754,0.10754,0.24056,1.5237e-10,1.5333e-10
31027,2.724e+07,0,8.9111e-05,1.2092e-05,1.2088e-05,0.0015868,0.038719,0.038724,0.024192,0.10393,0.10393,0.23274,1.3535e-10,1.3622e-10
33005,2.7737e+07,0,8.6527e-05,1.1253e-05,1.125e-05,0.0015353,0.036655,0.036662,0.022656,0.10099,0.10099,0.22601,1.2149e-10,1.2229e-10
34992,2.8236e+07,0,8.43e-05,1.0583e-05,1.0579e-05,0.00149,0.034964,0.034973,0.021365,0.098637,0.098639,0.22012,1.1024e-10,1.1097e-10
36977,2.8734e+07,0,8.3792e-05,1.0346e-05,1.0342e-05,0.0014766,0.035685,0.035696,0.020918,0.1055,0.1055,0.22533,1.0297e-10,1.0365e-10
38950,2.9226e+07,0,8.1431e-05,9.8168e-06,9.8133e-06,0.0014311,0.034144,0.034155,0.019875,0.10248,0.10248,0.21893,9.5049e-11,9.5671e-11
40925,2.9716e+07,0,7.9023e-05,9.3387e-06,9.3359e-06,0.0013852,0.032642,0.032653,0.018952,0.098965,0.098973,0.21232,8.843e-11,8.9002e-11
42904,3.021e+07,0,7.6834e-05,8.97e-06,8.9663e-06,0.0013449,0.031602,0.031614,0.01826,0.096972,0.096982,0.20747,8.2936e-11,8.3461e-11
44896,3.0707e+07,0,7.4616e-05,8.6294e-06,8.6262e-06,0.0013043,0.030489,0.030499,0.017656,0.094226,0.094236,0.20206,7.8278e-11,7.8762e-11
