LineNo,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
1.1594e+05,1.0784e+08,1,0,4.756,216,288,0,72,144,0.2,0.2,0.2,0.2,0.2
1.1598e+05,1.0785e+08,1,149.57,14.287,215.99,287.99,359.99,71.994,143.99,0.2,0.2,0.2,0.2,0.2
1.1602e+05,1.0786e+08,1,104.22,14.889,215.99,287.99,359.99,71.994,143.99,0.2,0.2,0.2,0.2,0.2
1.1607e+05,1.0787e+08,1,84.131,14.358,215.99,287.99,359.99,71.988,143.99,0.2,0.2,0.2,0.2,0.2
1.1612e+05,1.0788e+08,1,192.25,14.609,215.99,287.99,359.99,71.988,143.99,0.2,0.2,0.2,0.2,0.2
1.1616e+05,1.0789e+08,1,141.7,14.271,215.99,287.99,359.99,71.987,143.99,0.2,0.2,0.2,0.2,0.2
1.162e+05,1.0791e+08,1,141.7,14.271,215.99,287.99,359.99,71.987,143.99,0.2,0.2,0.2,0.2,0.2
1.1625e+05,1.0791e+08,1,245.78,14.801,215.99,287.99,359.99,71.987,143.99,0.2,0.2,0.2,0.2,0.2
1.163e+05,1.0792e+08,1,107.18,15.006,215.99,287.99,359.99,71.993,143.99,0.2,0.2,0.2,0.2,0.2
1.1634e+05,1.0794e+08,1,103.63,14.867,216,288,360,71.995,144,0.2,0.2,0.2,0.2,0.2
1.1639e+05,1.0795e+08,1,127.93,14.425,216,288,360,71.997,144,0.2,0.2,0.2,0.2,0.2
1.1643e+05,1.0796e+08,1,106.64,14.984,216,288,360,72,144,0.2,0.2,0.2,0.2,0.2
1.1648e+05,1.0797e+08,1,159.91,14.422,216,288,360,71.999,144,0.2,0.2,0.2,0.2,0.2
1.1653e+05,1.0798e+08,1,140.03,14.278,216,288,360,71.996,144,0.2,0.2,0.2,0.2,0.2
1.1657e+05,1.0799e+08,1,140.03,14.278,216,288,360,71.996,144,0.2,0.2,0.2,0.2,0.2
1.1662e+05,1.08e+08,1,200.98,14.405,216,288,360,71.995,144,0.2,0.2,0.2,0.2,0.2
1.1666e+05,1.0801e+08,1,186.29,14.798,215.99,287.99,359.99,71.988,143.99,0.2,0.2,0.2,0.2,0.2
1.1671e+05,1.0802e+08,1,160.23,14.429,215.98,287.98,359.98,71.978,143.98,0.2,0.2,0.2,0.2,0.2
1.1676e+05,1.0803e+08,1,142.27,14.27,215.97,287.97,359.97,71.972,143.97,0.2,0.2,0.2,0.2,0.2
1.168e+05,1.0804e+08,1,142.27,14.27,215.97,287.97,359.97,71.972,143.97,0.2,0.2,0.2,0.2,0.2
1.1684e+05,1.0805e+08,1,161.66,14.458,215.72,287.76,0.090932,72.248,144.02,0.20135,0.19802,0.19743,0.20038,0.20282
1.1688e+05,1.0806e+08,1,154.19,14.157,215.72,287.76,0.092564,72.25,144.02,0.20135,0.19802,0.19743,0.20038,0.20282
1.1693e+05,1.0807e+08,1,154.19,14.157,215.72,287.77,0.093652,72.251,144.02,0.20135,0.19802,0.19743,0.20038,0.20282
1.1698e+05,1.0808e+08,1,154.19,14.157,215.72,287.77,0.09653,72.254,144.02,0.20135,0.19802,0.19743,0.20038,0.20282
1.1702e+05,1.0809e+08,1,154.19,14.157,215.72,287.77,0.09653,72.254,144.02,0.20135,0.19802,0.19743,0.20038,0.20282
1.1707e+05,1.081e+08,1,154.19,14.157,215.73,287.77,0.10067,72.258,144.03,0.20135,0.19802,0.19743,0.20038,0.20282
1.1711e+05,1.0811e+08,1,154.2,14.157,215.73,287.77,0.10273,72.26,144.03,0.20135,0.19802,0.19743,0.20038,0.20282
1.1716e+05,1.0812e+08,1,154.2,14.157,215.73,287.78,0.10458,72.262,144.03,0.20135,0.19802,0.19743,0.20038,0.20282
1.1721e+05,1.0813e+08,1,154.2,14.157,215.73,287.78,0.10458,72.262,144.03,0.20135,0.19802,0.19743,0.20038,0.20282
1.1725e+05,1.0814e+08,1,154.2,14.157,215.73,287.78,0.10751,72.265,144.03,0.20135,0.19802,0.19743,0.20038,0.20282
1.173e+05,1.0815e+08,1,154.2,14.157,215.73,287.78,0.10587,72.263,144.03,0.20135,0.19802,0.19743,0.20038,0.20282
1.1734e+05,1.0817e+08,1,154.2,14.157,215.73,287.78,0.10587,72.263,144.03,0.20135,0.19802,0.19743,0.20038,0.20282
1.1738e+05,1.0818e+08,1,154.19,14.157,215.73,287.77,0.10024,72.258,144.03,0.20135,0.19802,0.19743,0.20038,0.20282
1.1743e+05,1.0819e+08,1,154.19,14.157,215.72,287.77,0.097048,72.254,144.02,0.20135,0.19802,0.19743,0.20038,0.20282
1.1748e+05,1.082e+08,1,154.19,14.157,215.72,287.77,0.097048,72.254,144.02,0.20135,0.19802,0.19743,0.20038,0.20282
1.1752e+05,1.0821e+08,1,154.18,14.157,215.72,287.76,0.090635,72.248,144.02,0.20135,0.19802,0.19743,0.20038,0.20282
1.1756e+05,1.0822e+08,1,154.17,14.157,215.71,287.75,0.08082,72.238,144.01,0.20135,0.19802,0.19743,0.20038,0.20282
1.1761e+05,1.0823e+08,1,154.16,14.157,215.7,287.74,0.072183,72.23,144,0.20135,0.19802,0.19743,0.20038,0.20282
1.1766e+05,1.0824e+08,1,154.16,14.157,215.69,287.69,0.042352,72.261,144.04,0.20216,0.19796,0.19659,0.19991,0.20338
1.177e+05,1.0825e+08,1,154.16,14.157,215.69,287.69,0.042352,72.261,144.04,0.20216,0.19796,0.19659,0.19991,0.20338
1.1775e+05,1.0826e+08,1,163,14.148,215.69,287.69,0.040097,72.259,144.04,0.20216,0.19796,0.19659,0.19991,0.20338
1.1779e+05,1.0827e+08,1,163,14.148,215.69,287.69,0.043785,72.263,144.05,0.20216,0.19796,0.19659,0.19991,0.20338
1.1784e+05,1.0828e+08,1,163.01,14.148,215.7,287.7,0.051545,72.27,144.05,0.20216,0.19796,0.19659,0.19991,0.20338
