LineNo,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
1.1593e+05,1.0784e+08,0,0,4.756,216,288,0,72,144,0.2,0.2,0.2,0.2,0.2
1.1597e+05,1.0785e+08,0,235.76,14.505,216,288,360,71.996,144,0.2,0.2,0.2,0.2,0.2
1.1602e+05,1.0786e+08,0,221.4,14.286,215.99,287.99,359.99,71.994,143.99,0.2,0.2,0.2,0.2,0.2
1.1606e+05,1.0787e+08,0,139.63,14.28,215.99,287.99,359.99,71.992,143.99,0.2,0.2,0.2,0.2,0.2
1.1611e+05,1.0788e+08,0,139.63,14.28,215.99,287.99,359.99,71.992,143.99,0.2,0.2,0.2,0.2,0.2
1.1615e+05,1.0789e+08,0,116.62,14.719,215.99,287.99,359.99,71.992,143.99,0.2,0.2,0.2,0.2,0.2
1.162e+05,1.0791e+08,0,126.84,14.447,215.99,287.99,359.99,71.993,143.99,0.2,0.2,0.2,0.2,0.2
1.1624e+05,1.0791e+08,0,221.51,14.287,216,288,360,71.995,144,0.2,0.2,0.2,0.2,0.2
1.1629e+05,1.0792e+08,0,226.9,14.34,216,288,360,71.998,144,0.2,0.2,0.2,0.2,0.2
1.1633e+05,1.0794e+08,0,206.63,14.322,216,288,0.0034955,72.003,144,0.2,0.2,0.2,0.2,0.2
1.1638e+05,1.0795e+08,0,206.63,14.322,216,288,0.0034955,72.003,144,0.2,0.2,0.2,0.2,0.2
1.1642e+05,1.0796e+08,0,209.41,14.295,216.01,288.01,0.0067096,72.007,144.01,0.2,0.2,0.2,0.2,0.2
1.1647e+05,1.0797e+08,0,195.69,14.518,216.01,288.01,0.0097621,72.01,144.01,0.2,0.2,0.2,0.2,0.2
1.1652e+05,1.0798e+08,0,213.29,14.273,216.01,288.01,0.010563,72.011,144.01,0.2,0.2,0.2,0.2,0.2
1.1656e+05,1.0799e+08,0,203.6,14.362,216.01,288.01,0.0087142,72.009,144.01,0.2,0.2,0.2,0.2,0.2
1.1661e+05,1.08e+08,0,133.21,14.339,216,288,0.0033871,72.003,144,0.2,0.2,0.2,0.2,0.2
1.1665e+05,1.0801e+08,0,133.21,14.339,216,288,0.0033871,72.003,144,0.2,0.2,0.2,0.2,0.2
1.167e+05,1.0802e+08,0,162.06,14.466,216,288,360,71.998,144,0.2,0.2,0.2,0.2,0.2
1.1675e+05,1.0803e+08,0,209.47,14.294,215.99,287.99,359.99,71.992,143.99,0.2,0.2,0.2,0.2,0.2
1.1679e+05,1.0804e+08,0,185.45,14.828,216,288.02,359.99,71.958,143.96,0.19973,0.20003,0.20029,0.20015,0.19981
1.1683e+05,1.0805e+08,0,12.617,14.356,216,288.02,359.99,71.957,143.96,0.19973,0.20003,0.20029,0.20015,0.19981
1.1687e+05,1.0806e+08,0,12.615,14.356,216,288.02,359.99,71.957,143.96,0.19973,0.20003,0.20029,0.20015,0.19981
1.1692e+05,1.0807e+08,0,12.618,14.356,216,288.02,360,71.959,143.96,0.19973,0.20003,0.20029,0.20015,0.19981
1.1697e+05,1.0808e+08,0,12.623,14.356,216.01,288.03,0.00061293,71.965,143.97,0.19973,0.20003,0.20029,0.20015,0.19981
