LineNo,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
3407,2.0304e+07,0,8.2201e-08,6.1525e-06,6.1525e-06,6.8983e-07,0,0,0,0,0,0,0,0
5399,2.08e+07,0,7.0903e-08,6.1525e-06,6.1525e-06,5.4118e-07,0,0,0,0,0,0,0,0
7379,2.1294e+07,0,6.1313e-08,6.1525e-06,6.1525e-06,4.3241e-07,0,0,0,0,0,0,0,0
9365,2.1794e+07,0,5.3184e-08,6.1525e-06,6.1525e-06,3.5005e-07,0,0,0,0,0,0,0,0
11224,2.2294e+07,0,4.631e-08,6.1525e-06,6.1525e-06,2.871e-07,0,0,0,0,0,0,0,0
13196,2.2787e+07,0,4.0488e-08,6.1525e-06,6.1525e-06,2.3752e-07,0,0,0,0,0,0,0,0
15175,2.3281e+07,0,3.5526e-08,6.1525e-06,6.1525e-06,1.9828e-07,0,0,0,0,0,0,0,0
17125,2.3777e+07,0,3.1304e-08,6.1525e-06,6.1525e-06,1.6698e-07,0,0,0,0,0,0,0,0
19078,2.4268e+07,0,2.7695e-08,6.1525e-06,6.1525e-06,1.418e-07,0,0,0,0,0,0,0,0
21063,2.4759e+07,0,2.5191e-08,6.1525e-06,6.1525e-06,1.2515e-07,0,0,0,0,0,0,0,0
23054,2.5255e+07,0,2.2455e-08,6.1525e-06,6.1525e-06,1.079e-07,0,0,0,0,0,0,0,0
25046,2.5747e+07,0,2.0079e-08,6.1525e-06,6.1525e-06,9.3719e-08,0,0,0,0,0,0,0,0
27028,2.6243e+07,0,1.8016e-08,6.1525e-06,6.1525e-06,8.2047e-08,0,0,0,0,0,0,0,0
29010,2.6739e+07,0,1.6225e-08,6.1525e-06,6.1525e-06,7.2378e-08,0,0,0,0,0,0,0,0
31028,2.724e+07,0,1.4661e-08,6.1525e-06,6.1525e-06,6.4332e-08,0,0,0,0,0,0,0,0
33006,2.7737e+07,0,1.3291e-08,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
34993,2.8236e+07,0,1.2081e-08,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
36978,2.8734e+07,0,1.1216e-08,6.1525e-06,6.1525e-06,6.1527e-08,0,0,0,0,0,0,0,0
38951,2.9226e+07,0,1.0245e-08,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
40926,2.9716e+07,0,9.3823e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
42905,3.021e+07,0,8.6129e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
44897,3.0707e+07,0,7.926e-09,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
46877,3.1206e+07,0,7.3103e-09,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
48866,3.17e+07,0,6.755e-09,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
50865,3.2203e+07,0,6.2541e-09,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
52851,3.2698e+07,0,5.8882e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
54868,3.3198e+07,0,5.4698e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
56858,3.3697e+07,0,5.09e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
58842,3.4196e+07,0,4.7449e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
60821,3.4692e+07,0,4.43e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
62793,3.5188e+07,0,4.142e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
64768,3.5685e+07,0,3.8784e-09,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
66676,3.6176e+07,0,3.6367e-09,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
68643,3.6673e+07,0,3.415e-09,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
70636,3.7175e+07,0,3.2107e-09,6.1525e-06,6.1525e-06,6.1525e-08,0,0,0,0,0,0,0,0
72618,3.767e+07,0,3.0592e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
74575,3.8169e+07,0,2.8827e-09,6.1525e-06,6.1525e-06,6.1526e-08,0,0,0,0,0,0,0,0
76565,3.8668e+07,0,2.7188e-09,6.1525e-06,6.1525e-06,6.1527e-08,0,0,0,0,0,0,0,0
78554,3.9164e+07,0,2.5635e-09,6.1525e-06,6.1523e-06,6.1527e-08,0,0,0,0,0,0,0,0
