LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
1817,45422991,2,0,0,16.57,0.04,26,0,0,0
2274,45536797,2,0,0,16.57,0.04,27,0,0,0
2691,45639413,2,0,0,16.57,0.03,26,0,0,0
3105,45743950,2,0,0,16.57,0.04,27,0,0,0
3560,45856894,2,0,0,16.56,0.03,27,0,0,0
3975,45958612,2,0,0,16.57,0.04,27,0,0,0
4434,46069917,2,0,0,16.57,0.03,26,0,0,0
4847,46173465,2,0,0,16.57,0.03,27,0,0,0
5265,46277555,2,0,0,16.58,0.03,27,0,0,0
5719,46390469,2,0,0,16.56,0.03,27,0,0,0
6134,46494260,2,0,0,16.56,0.03,27,0,0,0
6589,46606440,2,0,0,16.57,0.03,27,0,0,0
6999,46706988,2,0,0,16.57,0.03,27,0,0,0
7452,46819528,2,0,0,16.57,0.03,27,0,0,0
7867,46920724,2,0,0,16.57,0.04,27,0,0,0
8324,47034582,2,0,0,16.57,0.03,27,0,0,0
8735,47135927,2,0,0,16.57,0.04,27,0,0,0
9189,47248700,2,0,0,16.57,0.04,27,0,0,0
9460,47341587,2,0,0,16.57,0.03,27,0,0,0
9916,47454710,2,0,0,16.56,0.03,27,0,0,0
10331,47555660,2,0,0,16.57,0.03,27,0,0,0
11170,47769013,2,0,0,16.57,0.03,27,0,0,0
11586,47873012,2,0,0,16.57,0.03,27,0,0,0
11997,47973654,2,0,0,16.57,0.03,27,0,0,0
12450,48083013,2,0,0,16.57,0.04,27,0,0,0
12904,48193465,2,0,0,16.57,0.04,27,0,0,0
13278,48291196,2,0,0,16.57,0.04,27,0,0,0
13732,48403577,2,0,0,16.57,0.04,27,0,0,0
14186,48515557,2,0,0,16.56,0.03,27,0,0,0
14605,48616665,2,0,0,16.57,0.04,27,0,0,0
15008,48718213,2,0,0,16.57,0.04,27,0,0,0
15460,48832933,2,0,0,16.57,0.04,27,0,0,0
15875,48933893,2,0,0,16.57,0.04,27,0,0,0
16332,49050125,2,0,0,16.57,0.04,27,0,0,0
16745,49150935,2,0,0,16.56,0.04,27,0,0,0
17157,49255116,2,0,0,16.57,0.03,27,0,0,0
17610,49365172,2,0,0,16.56,0.03,27,0,0,0
18022,49468743,2,0,0,16.56,0.03,27,0,0,0
18478,49579583,2,0,0,16.56,0.03,27,0,0,0
18888,49683389,2,0,0,16.57,0.03,27,0,0,0
19302,49784516,2,0,0,16.56,0.03,27,0,0,0
19716,49891030,2,0,0,16.56,0.03,27,0,0,0
20170,50002426,2,0,0,16.57,0.03,27,0,0,0
20584,50104597,2,0,0,16.57,0.03,27,0,0,0
21035,50216706,2,0,0,16.57,0.04,27,0,0,0
21450,50322882,2,0,0,16.57,0.04,27,0,0,0
21862,50429528,2,0,0,16.56,0.04,27,0,0,0
22277,50530667,2,0,0,16.56,0.04,27,0,0,0
22732,50642590,2,0,0,16.56,0.03,27,0,0,0
23144,50744711,2,0,0,16.57,0.04,27,0,0,0
23560,50849006,2,0,0,16.57,0.03,27,0,0,0
24015,50960890,2,0,0,16.57,0.04,27,0,0,0
24430,51064581,2,0,0,16.57,0.03,27,0,0,0
24883,51174679,2,0,0,16.57,0.03,27,0,0,0
25293,51276701,2,0,0,16.57,0.03,27,0,0,0
25746,51386489,2,0,0,16.57,0.03,27,0,0,0
26154,51489332,2,0,0,16.57,0.03,27,0,0,0
26613,51608608,2,0,0,16.56,0.03,27,0,0,0
27026,51709027,2,0,0,16.57,0.03,27,0,0,0
27434,51811543,2,0,0,16.57,0.03,27,0,0,0
27889,51922802,2,0,0,16.57,0.03,27,0,0,0
29161,52242574,2,0,0,16.57,0.03,27,0,0,0
29577,52344723,2,0,0,16.57,0.03,27,0,0,0
29989,52450158,2,0,0,16.57,0.03,27,0,0,0
30450,52561422,2,0,0,16.55,0.03,27,0,0,0
30884,52666301,2,0,0,16.56,0.03,27,0,0,0
31382,52777663,2,0,0,16.56,0.03,27,0,0,0
31836,52882362,2,0,0,16.57,0.03,27,0,0,0
32289,52983040,2,0,0,16.57,0.03,27,0,0,0
32748,53092409,2,0,0,16.57,0.03,27,0,0,0
33245,53204973,2,0,0,16.57,0.03,27,0,0,0
33694,53307670,2,0,0,16.57,0.03,27,0,0,0
